Index,야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
21,매화둠벙마을영농조합법인,야영장,36.81206822,126.226816,충청남도 태안군 원북면 동해길 301-41,,041-672-0109,1,1563,39.56,136,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
22,구름포오토캠핑장,야영장,36.835351,126.1524605,충청남도 태안군 소원면 구름포길 119,충청남도 태안군 소원면 의항리 157-3,041-000-0000,13,4073,,60,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
23,서해땅끝파도리아치내캠핑장,야영장,36.71993836,126.1274715,충청남도 태안군 소원면 아치내길 216,충청남도 태안군 소원면 파도리 1318,041-000-0000,20,3892,214.54,48,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
24,태안라온캠핑장,자동차야영장,36.886282,126.2022738,충청남도 태안군 원북면 옥파로 1019,충청남도 태안군 원북면 황촌리 800-95,041-674-4540,31,4996,127.47,44,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
25,어은돌야영장,야영장,36.75147138,126.133663,충청남도 태안군 소원면 연들길 67-3,,041-000-0000,15,1482,124.5,36,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
26,물결캠핑장,야영장,36.8980164,126.2086677,충청남도 태안군 원북면 학암포길 21-22,충청남도 태안군 원북면 방갈리 515-210,041-000-0000,1,1828,103,32,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
27,바다물결캠핑장,야영장,36.897777,126.208252,,충청남도 태안군 원북면 방갈리 515-254,041-000-0000,1,1291,103,196,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
28,함평나비마을서울캠핑장,야영장,35.03837633,126.4884945,전라남도 함평군 함평읍 함장로 730,,061-324-6251,21,,,126,,탁구장+바둑교실+관리실+화장실+샤워장,X,,,,061-320-1784,함평군,2019-09-24,4960000,전라남도 함평군
29,바다여행캠핑장,야영장,36.89097201,126.2014262,충청남도 태안군 원북면 옥파로 1059-16,충청남도 태안군 원북면 방갈리 535,041-000-0000,2,2243,,84,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
30,학암포퍼스트캠핑장,야영장,36.89879695,126.2041136,충청남도 태안군 원북면 옥파로 1163-27,충청남도 태안군 원북면 방갈리 515-136,041-000-0000,24,9000,72,56,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
31,벗과뱃나루캠핑리조트,야영장,36.61517097,126.304788,충청남도 태안군 남면 마검포길 201-64,충청남도 태안군 남면 신온리 169-18,041-000-0000,2,3493,198.52,84,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
32,비비오토캠프,야영장,36.61386861,126.3027037,충청남도 태안군 남면 마검포길 219-25,충청남도 태안군 남면 신온리 169-13,041-000-0000,2,2565,198.52,48,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
33,캠핑코리아,야영장,36.83411147,126.1830237,충청남도 태안군 원북면 신두로 689-37,,041-675-9006,7,1310,389.12,56,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
34,버디버디,야영장,36.72496032,126.2729946,충청남도 태안군 남면 진산1길 277-200,충청남도 태안군 남면 진산리 613-11,041-000-0000,1,1476,116.22,56,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
35,산마루 캠핑장,야영장,38.111665,127.399332,경기도 포천시 이동면 금강로 6584-20,,031-000-0000,35,,,140,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
36,대청마루 물소리,야영장,38.15573819,127.198216,경기도 포천시 관인면 담터길 239,경기도 포천시 관인면 삼율리 10,031-000-0000,48,,,192,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
37,방아텃골 관광농원,야영장,37.938288,127.276311,,경기도 포천시 일동면 길명리 398-8,031-000-0000,23,,,92,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
38,나마스떼,야영장,37.973574,127.1025396,경기도 포천시 신북면 청신로 571,,031-000-0000,15,,,60,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
39,산정호수 가족글램핑,야영장,38.066428,127.315572,경기도 포천시 영북면 산정호수로 399,,031-000-0000,14,,,56,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
40,백운힐링 캠핑장,야영장,38.07621276,127.4182277,경기도 포천시 이동면 포화로 320-1,경기도 포천시 이동면 도평리 26,031-000-0000,7,,,28,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
41,운악레저타운,야영장,37.904902,127.310522,경기도 포천시 화현면 화동로432번길 26,,031-000-0000,9,,,36,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
42,계곡과소나무 캠핑장,야영장,37.9522642,127.360448,경기도 포천시 일동면 무리울길 299,경기도 포천시 일동면 화대리 1-4,031-000-0000,6,,,24,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
43,낭만가족 캠핑장,야영장,37.93053562,127.1223132,경기도 포천시 신북면 지동길 199-10,경기도 포천시 신북면 금동리 84-8,031-000-0000,21,,,84,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
44,용봉산글램핑,야영장,36.64403069,126.6617413,충청남도 홍성군 홍북읍 용봉산1길 15,,041-633-3739,82,6940,,328,,전기시설+수영장+샤워실,소화기+방송장비+안전게시물,,,,041-630-1256,홍성군청,2020-01-28,6440000,충청남도
45,상황오토캠핑장,자동차야영장,36.58453493,126.4765056,충청남도 홍성군 서부면 서부서길 633-60,,041-631-6160,41,10230,,164,,전기시설+가스시설+야외물놀이장+족구장+파고라,소화기+방송장비+안전게시물,,,,041-630-1257,홍성군청,2020-01-28,6440000,충청남도
46,카라반에코빌리지,야영장,36.60520241,126.6054095,충청남도 홍성군 구항면 구성북로 229,,041-000-0000,3,1037,,12,,전기시설+샤워실,소화기+방송장비+안전게시물,,,,041-630-1258,홍성군청,2020-01-28,6440000,충청남도
47,예산느티나무캠핑장,야영장,36.59693637,126.9099501,충청남도 예산군 신양면 차동송정길 2-71,,041-333-2442,50,5862,197,200,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
48,가루실 캠프,야영장,36.65623701,126.6436767,충청남도 예산군 덕산면 가루실길 229-23,,041-337-9613,21,3083,79,84,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
49,파인힐 캠프,야영장,36.64392482,126.6029129,충청남도 예산군 덕산면 외라2길 60-24,,000-000-0000,25,9990,118,100,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
50,농업회사법인 주식회사 태신목장 예산지점,야영장,36.80188596,126.708268,충청남도 예산군 고덕면 몽곡상몽길 373-7,,041-356-3154,29,4980,116,116,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
51,피플앤독힐링캠핑장,야영장,36.64531869,126.8725792,충청남도 예산군 신양면 귀곡동절길 28-1,,041-331-3312,3,1299,35,15,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
52,주식회사 제이에스글로벌,자동차야영장,36.69489717,126.6565637,충청남도 예산군 덕산면 온천단지3로 42-3,,041-337-7401,1,890,18,55,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
53,피플앤독느티캠핑장,야영장,36.6286368,126.8692124,충청남도 예산군 신양면 불원귀곡길 108,,041-331-3312,20,5171,285,80,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
54,예당관광지국민여가캠핑장,자동차야영장,36.63661875,126.7980041,충청남도 예산군 응봉면 예당관광로 123,,041-339-8282,27,6797,257,108,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
55,예산군예당관광지야영장,야영장,36.63801252,126.7994317,충청남도 예산군 응봉면 예당관광로 161,,041-339-8282,9,6740,136,50,,상하수도시설+화장실+취사시설,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
56,함평자연생태공원캠핑장,야영장,35.13500123,126.505701,전라남도 함평군 대동면 학동로 1398-77,,061-320-2853,10,,,60,,X,X,,,,061-320-2853,함평군,2019-09-24,4960000,전라남도 함평군
57,수덕 캠핑장,야영장,36.67212982,126.647483,충청남도 예산군 덕산면 노곡길 15,,000-000-0000,29,5624,142,116,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
58,가야산 캠핑장,야영장,36.68647709,126.6289428,충청남도 예산군 덕산면 윤봉길로 489-8,,000-000-0000,21,4400,50,84,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+대피공간+관리요원,,,,041-339-7302,예산군청,2020-01-28,6440000,충청남도
59,맘빌리지,야영장,36.7379596,126.2023737,충청남도 태안군 소원면 법산길 350-60,,041-000-0000,1,1991,,48,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
60,굼벵이캠핑농원,야영장,36.93651048,126.2939113,충청남도 태안군 이원면 꾸지나무길 103-10,,041-000-0000,21,1912,65.9,84,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
61,이태백야영장,야영장,36.83937362,126.163896,충청남도 태안군 소원면 송의로 809-68,,041-000-0000,13,1222,52,52,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
62,삼봉자동차야영장,자동차야영장,36.57151542,126.3150832,충청남도 태안군 안면읍 삼봉길 209-3,,041-673-1066,25,22000,195,100,,하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
63,학암포자동차야영장,자동차야영장,36.89799623,126.2072633,충청남도 태안군 원북면 옥파로 1152-37,,041-674-3224,100,27451,660.74,400,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
64,몽산포자동차야영장,자동차야영장,36.66982224,126.2895321,충청남도 태안군 남면 몽산포길 63-43,충청남도 태안군 남면 신장리 355-50,041-672-7267,159,33016,302.4,600,,하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
65,마검포힐링캠핑장,야영장,36.609494,126.2908415,충청남도 태안군 남면 마검포길 313-30,충청남도 태안군 남면 신온리 952-15,041-000-0000,9,1828,176,72,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2020-01-28,6440000,충청남도
66,카라반 캠핑장,야영장,38.08771185,127.389974,경기도 포천시 이동면 금강로6263번길 12-1,경기도 포천시 이동면 도평리 538-8,031-542-5420,8,,,32,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
67,백운오양골 캠핑장,야영장,38.068152,127.381685,경기도 포천시 이동면 화동로2457번길 92,,031-536-5565,46,,,184,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
68,도리돌 캠핑장,야영장,38.0611704,127.386996,경기도 포천시 이동면 화동로 2464,,031-000-0000,18,,,72,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
69,포천계곡캠핑장,야영장,38.090773,127.391388,경기도 포천시 이동면 금강로 6304,경기도 포천시 이동면 도평리 542-1,031-000-0000,13,,,52,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
70,포천이동 생태공원 캠핑장,야영장,38.03816514,127.3664503,경기도 포천시 이동면 성장로1289번길 63,경기도 포천시 이동면 장암리 477-1,031-538-4552,13,,,52,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
71,넓은마당캠핑장,야영장,38.0682697,127.3875996,경기도 포천시 이동면 화동로 2530,경기도 포천시 이동면 도평리 469-8,031-535-9107,26,,,104,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
72,청담 관광농원,야영장,37.885933,127.282816,,경기도 포천시 화현면 명덕리 10-14,031-000-0000,36,,,144,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
73,명덕 관광농원,야영장,37.886479,127.2850044,경기도 포천시 화현면 봉화로 400-150,경기도 포천시 화현면 명덕리 10-17,031-000-0000,27,,,108,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
74,자일랜드,야영장,38.10560301,127.309129,경기도 포천시 영북면 호국로4350번길 154-188,경기도 포천시 영북면 자일리 8,031-000-0000,32,,,128,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
75,위크온 글램핑,야영장,38.02933931,127.387924,경기도 포천시 이동면 늠바위길 201-3,경기도 포천시 이동면 장암리 50,031-000-0000,9,,,36,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
76,광릉솔개캠핑장,야영장,37.7641781,127.1443901,경기도 포천시 소흘읍 광릉수목원로779번길 120,경기도 포천시 소흘읍 이곡리 524-1,031-544-1260,36,,,144,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
77,포천 베어스 글램핑 파크,야영장,37.832365,127.265782,경기도 포천시 내촌면 금강로 3009,경기도 포천시 내촌면 신팔리 388-2,031-000-0000,7,,,28,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
78,즐거운나들이 관광농원,야영장,37.8401404,127.220427,경기도 포천시 가산면 우금6길 64,경기도 포천시 가산면 우금리 97-4,031-000-0000,25,,,100,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
79,삼정관광농원,야영장,37.9789757,127.1352617,경기도 포천시 신북면 청신로947번길 207,경기도 포천시 신북면 삼정리 291-1,031-000-0000,6,,,24,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
80,아이에프에이 캠프운악,야영장,37.893925,127.306124,경기도 포천시 화현면 금강로 3806-80,경기도 포천시 화현면 화현리 1090-1,031-000-0000,24,,,96,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
81,추동캠프,야영장,37.99137763,127.155787,경기도 포천시 창수면 포천로2811번길 194,경기도 포천시 창수면 추동리 812,031-000-0000,17,,,68,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
82,광릉숲이야기 관광농원,야영장,37.766609,127.169787,경기도 포천시 직동길 44,경기도 포천시 소흘읍 직동리 76-4,031-000-0000,30,,,120,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
83,약사계곡 캠핑장,야영장,38.08804415,127.3897432,경기도 포천시 이동면 금강로 6263번길 14-2,경기도 포천시 이동면 도평리 538-7,031-536-5424,6,,,24,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
84,이동계곡 캠핑장,야영장,38.08841797,127.3900324,경기도 포천시 이동면 금강로 6263번길 14-1,경기도 포천시 이동면 도평리 538-4,031-542-5419,5,,,20,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
85,닥박골 휴양림,야영장,37.929688,127.1770912,경기도 포천시 신북면 깊이울로1길 48-17,경기도 포천시 신북면 심곡리 615,031-000-0000,33,,,132,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
86,대회산 캠핑장,야영장,38.067393,127.239546,경기도 포천시 영북면 대회산길 79-89,,031-531-3315,139,,,556,,"화장실, 샤워실, 매점",소화기,,,,031-538-3364,경기도 포천시청(관광산업과),2019-09-09,5600000,경기도 포천시
87,샬롬빌리지 펜션 야영장,야영장,37.6978019,128.4754222,강원도 평창군 용평면 이승복생가길 114,"강원도 평창군 용평면 노동리 91, 92-7",033-332-2554,15,,102,60,20,"샤워실,화장실,개수대","소화기, CCTV",해당없음,14:00~익일11:00,"40,000원 50,000원",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
88,아트인아일랜드야영장,야영장,37.6210102,128.3534348,,강원도 평창군 봉평면 원길리 1041-4,033-336-1771,30,,0,150,50,"샤워실,화장실,개수대","소화기, CCTV, 방송시설, 대피용공간",해당없음,13:00~익일12:00,"60,000원~90,000원",033-330-2752,평창군청,2019-05-31,4280000,강원도 평창군
89,청포대휴야영장,야영장,36.63675845,126.3017103,충청남도 태안군 남면 원청리 512-142,충청남도 태안군 남면 원청리 512-42,041-670-2114,10,1430,,40,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
90,은빛모래야영장,야영장,36.89784829,126.2049156,충청남도 태안군 원북면 방갈리 515-175,충청남도 태안군 원북면 방갈리 515-175,041-670-2114,20,3341,,80,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
91,태안캠핑농원,야영장,36.92005233,126.2924884,충청남도 태안군 이원면 내리 958-2,충청남도 태안군 이원면 내리 958-2,041-670-2114,25,4607,,100,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
92,솔향기캠핑장,야영장,36.77741217,126.1429476,충청남도 태안군 소원면 모항리 442-3,충청남도 태안군 소원면 모항리 442-3,041-670-2114,31,11763,,124,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
93,청화산캠프 관광농원,야영장,36.30678512,128.462185,경상북도 군위군 소보면 소보안계로 646-36,경상북도 군위군 소보면 보현리 10,054-383-8100,4,7601,228.59,50,15,카라반+편의점+주차장,소방+전기+가스+조명+CCTV+긴급방송,물놀이장+체험농원,15:00~익일12:00,50000원~250000원,054-380-6916,경상북도 군위군청,2019-09-05,5140000,경상북도 군위군
94,팔공SS오토캠핑장,자동차야영장,36.02987418,128.6307242,경상북도 군위군 부계면 한티로 1525-6,경상북도 군위군 부계면 남산리 1138-4,054-382-0007,38,7440,536.63,100,10,주차장,소방+전기+가스+조명+CCTV+긴급방송,물놀이장,15:00~익일11:00,30000원~200000원,054-380-6916,경상북도 군위군청,2019-09-05,5140000,경상북도 군위군
95,아날로그데이,자동차야영장,36.049944,128.654776,경상북도 군위군 부계면 원효길 1,경상북도 군위군 부계면 대율리 1257-4,054-382-1275,8,3017,451,50,10,편의점+주차장,소방+전기+조명+CCTV+긴급방송,물놀이장,14:00~익일13:00,45000원~130000원,054-380-6916,경상북도 군위군청,2019-09-05,5140000,경상북도 군위군
96,군위댐야영장,야영장,36.119373,128.7884242,경상북도 군위군 고로면 화북3길 38-10,경상북도 군위군 고로면 화북리 204,054-000-0000,4,650,76.5,16,2,편의점+주차장,소방+전기+긴급방송,,14:00~익일13:00,30000원~200000원,054-380-6916,경상북도 군위군청,2019-09-05,5140000,경상북도 군위군
97,솔담길오토캠핑장,자동차야영장,36.06285264,128.6540364,경상북도 군위군 부계면 한밤8길 2,경상북도 군위군 부계면 대율리 644-1,054-383-3660,30,10668,272.3,140,40,카라반+주차장+관리실,소방+전기+조명+CCTV+긴급방송,물놀이장+방방,14:00~익일12:00,40000원~150000원,054-380-6916,경상북도 군위군청,2019-09-05,5140000,경상북도 군위군
